--P,--R,--method,--metric,--blur,--ltp,--crop-seed,correct_matches,total,pct_correct,highest_correct,lowest_correct,highest_incorrect,lowest_incorrect,csv_file,results_json_file
8,1,uniform,chi2,0.0,False,1,33,75,44.0,0.00863252107170744,0.0002474182302171108,0.008123157356074016,0.0002759386809196321,exp_8_1_uniform_chi2_0.0_False_1.csv,exp_8_1_uniform_chi2_0.0_False_1_results.json
8,1,uniform,chi2,0.0,False,42,29,75,38.666666666666664,0.04351371090747841,0.0004465022285624677,0.02714021645811275,0.00045750261709131927,exp_8_1_uniform_chi2_0.0_False_42.csv,exp_8_1_uniform_chi2_0.0_False_42_results.json
8,1,uniform,chi2,0.0,False,35,33,75,44.0,0.006318162170603774,0.0003689943544031242,0.005957218629467049,0.00047579308171944075,exp_8_1_uniform_chi2_0.0_False_35.csv,exp_8_1_uniform_chi2_0.0_False_35_results.json
8,1,uniform,chi2,0.0,False,99,27,75,36.0,0.008383242803265552,0.0002890747580969254,0.004652069999262616,0.00027502152699819576,exp_8_1_uniform_chi2_0.0_False_99.csv,exp_8_1_uniform_chi2_0.0_False_99_results.json
8,1,uniform,chi2,0.0,False,123,32,75,42.666666666666664,0.028611197676918627,0.0005452682785697896,0.006805918787197123,0.00042049100224589807,exp_8_1_uniform_chi2_0.0_False_123.csv,exp_8_1_uniform_chi2_0.0_False_123_results.json
8,1,uniform,chi2,0.0,False,2024,32,75,42.666666666666664,0.008516517252875668,0.00045373901350025564,0.03251068918711356,0.00020828103508120782,exp_8_1_uniform_chi2_0.0_False_2024.csv,exp_8_1_uniform_chi2_0.0_False_2024_results.json
8,1,uniform,chi2,0.0,True,1,33,75,44.0,0.03578821669271578,0.008351617762822257,0.04782531335269084,0.00822535353825953,exp_8_1_uniform_chi2_0.0_True_1.csv,exp_8_1_uniform_chi2_0.0_True_1_results.json
8,1,uniform,chi2,0.0,True,42,36,75,48.0,0.027137001099583367,0.006998635980181545,0.08358328595047508,0.00882092357083098,exp_8_1_uniform_chi2_0.0_True_42.csv,exp_8_1_uniform_chi2_0.0_True_42_results.json
8,1,uniform,chi2,0.0,True,35,41,75,54.666666666666664,0.035113304052376164,0.006728321755530953,0.040598818001797946,0.00947546708577707,exp_8_1_uniform_chi2_0.0_True_35.csv,exp_8_1_uniform_chi2_0.0_True_35_results.json
8,1,uniform,chi2,0.0,True,99,31,75,41.333333333333336,0.02373818663015185,0.008363084740703509,0.06465748373677406,0.009702031757704377,exp_8_1_uniform_chi2_0.0_True_99.csv,exp_8_1_uniform_chi2_0.0_True_99_results.json
8,1,uniform,chi2,0.0,True,123,29,75,38.666666666666664,0.038184149363522234,0.004956478577991641,0.05300047945337196,0.007779896148620045,exp_8_1_uniform_chi2_0.0_True_123.csv,exp_8_1_uniform_chi2_0.0_True_123_results.json
8,1,uniform,chi2,0.0,True,2024,30,75,40.0,0.0304946077941202,0.007875927357510346,0.04647883165687327,0.007873561472764643,exp_8_1_uniform_chi2_0.0_True_2024.csv,exp_8_1_uniform_chi2_0.0_True_2024_results.json
8,1,uniform,chi2,0.5,False,1,22,75,29.333333333333332,0.00939132027462545,0.0005203406665382263,0.004450092939444108,0.0002594686295025777,exp_8_1_uniform_chi2_0.5_False_1.csv,exp_8_1_uniform_chi2_0.5_False_1_results.json
8,1,uniform,chi2,0.5,False,42,23,75,30.666666666666668,0.0033521494398423136,0.0003910638142752037,0.042579323013051756,0.0001899047780641878,exp_8_1_uniform_chi2_0.5_False_42.csv,exp_8_1_uniform_chi2_0.5_False_42_results.json
8,1,uniform,chi2,0.5,False,35,28,75,37.333333333333336,0.004040154065161794,0.0006514900902687492,0.0037368331698119954,0.00012060476311735907,exp_8_1_uniform_chi2_0.5_False_35.csv,exp_8_1_uniform_chi2_0.5_False_35_results.json
8,1,uniform,chi2,0.5,False,99,24,75,32.0,0.00709091514730841,0.0005223920759778723,0.0036523909603442726,0.0002932821330188994,exp_8_1_uniform_chi2_0.5_False_99.csv,exp_8_1_uniform_chi2_0.5_False_99_results.json
8,1,uniform,chi2,0.5,False,123,25,75,33.333333333333336,0.00881700489767178,0.00034191972923262865,0.00608863203975382,0.0003263250092758545,exp_8_1_uniform_chi2_0.5_False_123.csv,exp_8_1_uniform_chi2_0.5_False_123_results.json
8,1,uniform,chi2,0.5,False,2024,23,75,30.666666666666668,0.01928972943187717,0.000484736627361749,0.014239135270233284,0.00024782224531511027,exp_8_1_uniform_chi2_0.5_False_2024.csv,exp_8_1_uniform_chi2_0.5_False_2024_results.json
8,1,uniform,chi2,0.5,True,1,33,75,44.0,0.04628158291958507,0.009151988117512765,0.05354070358706505,0.009686356178604836,exp_8_1_uniform_chi2_0.5_True_1.csv,exp_8_1_uniform_chi2_0.5_True_1_results.json
8,1,uniform,chi2,0.5,True,42,35,75,46.666666666666664,0.029077654560723292,0.006315133981866627,0.08724119820844294,0.010417396689619284,exp_8_1_uniform_chi2_0.5_True_42.csv,exp_8_1_uniform_chi2_0.5_True_42_results.json
8,1,uniform,chi2,0.5,True,35,44,75,58.666666666666664,0.045147959463422455,0.008326631601822279,0.05091809146331141,0.011691691913243823,exp_8_1_uniform_chi2_0.5_True_35.csv,exp_8_1_uniform_chi2_0.5_True_35_results.json
8,1,uniform,chi2,0.5,True,99,31,75,41.333333333333336,0.02740533367137025,0.0074680920116647785,0.07440957055208222,0.010451452058755828,exp_8_1_uniform_chi2_0.5_True_99.csv,exp_8_1_uniform_chi2_0.5_True_99_results.json
8,1,uniform,chi2,0.5,True,123,31,75,41.333333333333336,0.03284668301721912,0.004644796275353917,0.05728666540593644,0.008613797823026051,exp_8_1_uniform_chi2_0.5_True_123.csv,exp_8_1_uniform_chi2_0.5_True_123_results.json
8,1,uniform,chi2,0.5,True,2024,28,75,37.333333333333336,0.044930253334478504,0.009923899908901176,0.04712512308365494,0.010320349303279826,exp_8_1_uniform_chi2_0.5_True_2024.csv,exp_8_1_uniform_chi2_0.5_True_2024_results.json
8,1,uniform,chi2,1.0,False,1,16,75,21.333333333333332,0.004156361097966141,0.0004450973132211655,0.009643705157915359,0.00015743122358044217,exp_8_1_uniform_chi2_1.0_False_1.csv,exp_8_1_uniform_chi2_1.0_False_1_results.json
8,1,uniform,chi2,1.0,False,42,30,75,40.0,0.024133423876794874,0.00022360542260092185,0.0025419455190856454,0.0001615812116552299,exp_8_1_uniform_chi2_1.0_False_42.csv,exp_8_1_uniform_chi2_1.0_False_42_results.json
8,1,uniform,chi2,1.0,False,35,25,75,33.333333333333336,0.004073889761445206,0.0006666231480699963,0.003136840251594254,0.00021167514783349732,exp_8_1_uniform_chi2_1.0_False_35.csv,exp_8_1_uniform_chi2_1.0_False_35_results.json
8,1,uniform,chi2,1.0,False,99,22,75,29.333333333333332,0.001817339881289325,0.0003195873725065052,0.0033874072045361027,0.00027583782500322515,exp_8_1_uniform_chi2_1.0_False_99.csv,exp_8_1_uniform_chi2_1.0_False_99_results.json
8,1,uniform,chi2,1.0,False,123,28,75,37.333333333333336,0.00768098208390009,0.0002293124149827456,0.003862764444613514,0.00019892973601135075,exp_8_1_uniform_chi2_1.0_False_123.csv,exp_8_1_uniform_chi2_1.0_False_123_results.json
8,1,uniform,chi2,1.0,False,2024,26,75,34.666666666666664,0.008681166259094866,0.00039753623741836837,0.007479717289439199,0.0002627404914406566,exp_8_1_uniform_chi2_1.0_False_2024.csv,exp_8_1_uniform_chi2_1.0_False_2024_results.json
8,1,uniform,chi2,1.0,True,1,35,75,46.666666666666664,0.04653456674780715,0.008202080399430876,0.0678265649315637,0.008158176490836158,exp_8_1_uniform_chi2_1.0_True_1.csv,exp_8_1_uniform_chi2_1.0_True_1_results.json
8,1,uniform,chi2,1.0,True,42,35,75,46.666666666666664,0.04347194836551857,0.004827549908701613,0.05398587418901829,0.0095732238911314,exp_8_1_uniform_chi2_1.0_True_42.csv,exp_8_1_uniform_chi2_1.0_True_42_results.json
8,1,uniform,chi2,1.0,True,35,47,75,62.666666666666664,0.050104289119043355,0.010325456148817866,0.05217153505772212,0.00950312403216636,exp_8_1_uniform_chi2_1.0_True_35.csv,exp_8_1_uniform_chi2_1.0_True_35_results.json
8,1,uniform,chi2,1.0,True,99,32,75,42.666666666666664,0.04350873976639803,0.008958374813121126,0.08221578868713968,0.013558381370604567,exp_8_1_uniform_chi2_1.0_True_99.csv,exp_8_1_uniform_chi2_1.0_True_99_results.json
8,1,uniform,chi2,1.0,True,123,33,75,44.0,0.04180605653824039,0.004441509212848659,0.06985842563049079,0.011024993595964809,exp_8_1_uniform_chi2_1.0_True_123.csv,exp_8_1_uniform_chi2_1.0_True_123_results.json
